ImageName,Mode,Channel,Mean(x),Mean(y),VAR(X),VAR(Y),"COV(X, Y)","Correlation(X,Y)"
05_Sailboat.bmp,HD,R channel,131.06,131.08,1831.50,1829.12,1749.40,0.955794
05_Sailboat.bmp,HD,G channel,124.34,124.55,6030.25,6008.80,5847.91,0.971491
05_Sailboat.bmp,HD,B channel,114.94,115.12,5905.75,5890.35,5727.25,0.971042
05_Sailboat.bmp,VD,R channel,131.00,131.01,1826.22,1833.55,1745.90,0.954107
05_Sailboat.bmp,VD,G channel,124.55,124.28,6008.80,6029.98,5816.30,0.966261
05_Sailboat.bmp,VD,B channel,114.86,114.88,5914.20,5905.93,5729.09,0.969380
05_Sailboat.bmp,DD,R channel,131.05,131.08,1826.28,1831.25,1714.03,0.937258
05_Sailboat.bmp,DD,G channel,124.59,124.53,6011.74,6011.50,5717.36,0.951051
05_Sailboat.bmp,DD,B channel,114.91,115.10,5915.27,5891.61,5615.23,0.951182
06_Splash.bmp,HD,R channel,176.47,176.48,3558.90,3557.91,3535.61,0.993595
06_Splash.bmp,HD,G channel,70.48,70.63,3646.62,3637.14,3573.33,0.981176
06_Splash.bmp,HD,B channel,79.95,79.95,2184.39,2184.16,2146.24,0.982587
06_Splash.bmp,VD,R channel,176.45,176.39,3561.87,3571.35,3549.29,0.995143
06_Splash.bmp,VD,G channel,70.57,70.43,3642.93,3625.62,3587.53,0.987140
06_Splash.bmp,VD,B channel,79.97,79.70,2183.34,2156.07,2123.96,0.978934
06_Splash.bmp,DD,R channel,176.65,176.60,3547.95,3556.43,3513.78,0.989187
06_Splash.bmp,DD,G channel,70.56,70.57,3649.75,3622.99,3531.96,0.971294
06_Splash.bmp,DD,B channel,79.98,79.72,2187.28,2159.75,2099.16,0.965808
01_Airplane_en.bmp,HD,R channel,127.52,127.52,5465.99,5466.66,6.26,0.001145
01_Airplane_en.bmp,HD,G channel,127.35,127.36,5471.17,5470.67,-26.71,-0.004882
01_Airplane_en.bmp,HD,B channel,127.42,127.43,5450.91,5451.58,5.34,0.000980
01_Airplane_en.bmp,VD,R channel,127.51,127.52,5466.69,5466.99,-0.06,-0.000011
01_Airplane_en.bmp,VD,G channel,127.36,127.37,5470.47,5470.77,8.52,0.001558
01_Airplane_en.bmp,VD,B channel,127.45,127.43,5451.24,5450.95,19.13,0.003509
01_Airplane_en.bmp,DD,R channel,127.51,127.53,5465.89,5466.90,-16.82,-0.003077
01_Airplane_en.bmp,DD,G channel,127.36,127.37,5470.62,5470.37,-7.94,-0.001451
01_Airplane_en.bmp,DD,B channel,127.44,127.42,5451.08,5451.46,-5.27,-0.000968
02_Baboon_en.bmp,HD,R channel,127.71,127.70,5437.21,5436.79,18.11,0.003331
02_Baboon_en.bmp,HD,G channel,127.73,127.74,5462.39,5461.82,10.30,0.001885
02_Baboon_en.bmp,HD,B channel,127.58,127.58,5467.46,5467.55,-2.24,-0.000409
02_Baboon_en.bmp,VD,R channel,127.71,127.71,5437.11,5436.74,-6.97,-0.001283
02_Baboon_en.bmp,VD,G channel,127.74,127.74,5461.63,5462.51,3.50,0.000640
02_Baboon_en.bmp,VD,B channel,127.58,127.58,5467.17,5466.86,-2.12,-0.000388
